DATE,valor,name
2012-10-27,284.47161290322583,_03.01.001
2012-10-28,284.36129032258066,_03.01.001
2012-10-29,284.2509677419355,_03.01.001
2012-10-30,284.1406451612903,_03.01.001
2012-10-31,284.0303225806452,_03.01.001
2012-11-01,283.92,_03.01.001
2012-11-02,283.94233333333335,_03.01.001
2012-11-03,283.9646666666667,_03.01.001
2012-11-04,283.987,_03.01.001
2012-11-05,284.00933333333336,_03.01.001
2012-11-06,284.0316666666667,_03.01.001
2012-11-07,284.05400000000003,_03.01.001
2012-11-08,284.07633333333337,_03.01.001
2012-11-09,284.09866666666665,_03.01.001
2012-11-10,284.121,_03.01.001
2012-11-11,284.1433333333333,_03.01.001
2012-11-12,284.16566666666665,_03.01.001
2012-11-13,284.188,_03.01.001
2012-11-14,284.2103333333333,_03.01.001
2012-11-15,284.23266666666666,_03.01.001
2012-11-16,284.255,_03.01.001
2012-11-17,284.27733333333333,_03.01.001
2012-11-18,284.29966666666667,_03.01.001
2012-11-19,284.322,_03.01.001
2012-11-20,284.34433333333334,_03.01.001
2012-11-21,284.3666666666667,_03.01.001
2012-11-22,284.389,_03.01.001
2012-11-23,284.41133333333335,_03.01.001
2012-11-24,284.4336666666666,_03.01.001
2012-11-25,284.45599999999996,_03.01.001
2012-11-26,284.4783333333333,_03.01.001
2012-11-27,284.50066666666663,_03.01.001
2012-11-28,284.52299999999997,_03.01.001
2012-11-29,284.5453333333333,_03.01.001
2012-11-30,284.56766666666664,_03.01.001
2012-12-01,284.59,_03.01.001
2012-12-02,284.6048387096774,_03.01.001
2012-12-03,284.61967741935484,_03.01.001
2012-12-04,284.63451612903225,_03.01.001
2012-12-05,284.64935483870966,_03.01.001
2012-12-06,284.66419354838706,_03.01.001
2012-12-07,284.6790322580645,_03.01.001
2012-12-08,284.69387096774193,_03.01.001
2012-12-09,284.70870967741934,_03.01.001
2012-12-10,284.72354838709674,_03.01.001
2012-12-11,284.7383870967742,_03.01.001
2012-12-12,284.7532258064516,_03.01.001
2012-12-13,284.768064516129,_03.01.001
2012-12-14,284.7829032258064,_03.01.001
2012-12-15,284.7977419354839,_03.01.001
2012-12-16,284.8125806451613,_03.01.001
2012-12-17,284.8274193548387,_03.01.001
2012-12-18,284.8422580645161,_03.01.001
2012-12-19,284.85709677419356,_03.01.001
2012-12-20,284.87193548387097,_03.01.001
2012-12-21,284.8867741935484,_03.01.001
2012-12-22,284.9016129032258,_03.01.001
2012-12-23,284.91645161290324,_03.01.001
2012-12-24,284.93129032258065,_03.01.001
2012-12-25,284.94612903225806,_03.01.001
2012-12-26,284.96096774193546,_03.01.001
2012-12-27,284.9758064516129,_03.01.001
2012-12-28,284.99064516129033,_03.01.001
2012-12-29,285.00548387096774,_03.01.001
2012-12-30,285.02032258064514,_03.01.001
2012-12-31,285.0351612903226,_03.01.001
2013-01-01,285.05,_03.01.001
2013-01-02,284.9787096774194,_03.01.001
2013-01-03,284.90741935483874,_03.01.001
2013-01-04,284.8361290322581,_03.01.001
2013-01-05,284.7648387096774,_03.01.001
2013-01-06,284.69354838709677,_03.01.001
2013-01-07,284.62225806451613,_03.01.001
2013-01-08,284.5509677419355,_03.01.001
2013-01-09,284.47967741935486,_03.01.001
2013-01-10,284.4083870967742,_03.01.001
2013-01-11,284.3370967741935,_03.01.001
2013-01-12,284.2658064516129,_03.01.001
2013-01-13,284.19451612903225,_03.01.001
2013-01-14,284.1232258064516,_03.01.001
2013-01-15,284.051935483871,_03.01.001
2013-01-16,283.98064516129034,_03.01.001
2013-01-17,283.90935483870965,_03.01.001
2013-01-18,283.838064516129,_03.01.001
2013-01-19,283.7667741935484,_03.01.001
2013-01-20,283.69548387096773,_03.01.001
2013-01-21,283.6241935483871,_03.01.001
2013-01-22,283.55290322580646,_03.01.001
2013-01-23,283.48161290322577,_03.01.001
2013-01-24,283.41032258064513,_03.01.001
2013-01-25,283.3390322580645,_03.01.001
2013-01-26,283.26774193548385,_03.01.001
2013-01-27,283.1964516129032,_03.01.001
2013-01-28,283.1251612903226,_03.01.001
2013-01-29,283.0538709677419,_03.01.001
2013-01-30,282.98258064516125,_03.01.001
2013-01-31,282.9112903225806,_03.01.001
2013-02-01,282.84,_03.01.001
2013-02-02,283.35214285714284,_03.01.001
2013-02-03,283.8642857142857,_03.01.001
2013-02-04,284.37642857142856,_03.01.001
2013-02-05,284.8885714285714,_03.01.001
2013-02-06,285.4007142857143,_03.01.001
2013-02-07,285.91285714285715,_03.01.001
2013-02-08,286.42499999999995,_03.01.001
2013-02-09,286.9371428571428,_03.01.001
2013-02-10,287.4492857142857,_03.01.001
2013-02-11,287.96142857142854,_03.01.001
2013-02-12,288.4735714285714,_03.01.001
2013-02-13,288.98571428571427,_03.01.001
2013-02-14,289.49785714285713,_03.01.001
2013-02-15,290.01,_03.01.001
2013-02-16,290.52214285714285,_03.01.001
2013-02-17,291.0342857142857,_03.01.001
2013-02-18,291.5464285714286,_03.01.001
2013-02-19,292.05857142857144,_03.01.001
2013-02-20,292.5707142857143,_03.01.001
2013-02-21,293.08285714285716,_03.01.001
2013-02-22,293.595,_03.01.001
2013-02-23,294.10714285714283,_03.01.001
2013-02-24,294.6192857142857,_03.01.001
2013-02-25,295.13142857142856,_03.01.001
2013-02-26,295.6435714285714,_03.01.001
2013-02-27,296.1557142857143,_03.01.001
2013-02-28,296.66785714285714,_03.01.001
2013-03-01,297.18,_03.01.001
2013-03-02,297.2064516129032,_03.01.001
2013-03-03,297.23290322580647,_03.01.001
2013-03-04,297.25935483870967,_03.01.001
2013-03-05,297.2858064516129,_03.01.001
2013-03-06,297.31225806451613,_03.01.001
2013-03-07,297.3387096774194,_03.01.001
2013-03-08,297.3651612903226,_03.01.001
2013-03-09,297.3916129032258,_03.01.001
2013-03-10,297.41806451612905,_03.01.001
