date,obs_flow,name
2012-03-04,1.035,1 Peralejos
2012-03-05,1.035,1 Peralejos
2012-03-06,1.035,1 Peralejos
2012-03-07,1.035,1 Peralejos
2012-03-08,1.035,1 Peralejos
2012-03-09,0.95,1 Peralejos
2012-03-10,0.95,1 Peralejos
2012-03-11,0.95,1 Peralejos
2012-03-12,0.95,1 Peralejos
2012-03-13,0.95,1 Peralejos
2012-03-14,0.95,1 Peralejos
2012-03-15,0.95,1 Peralejos
2012-03-16,0.95,1 Peralejos
2012-03-17,0.95,1 Peralejos
2012-03-18,0.95,1 Peralejos
2012-03-19,0.95,1 Peralejos
2012-03-20,0.95,1 Peralejos
2012-03-21,1.035,1 Peralejos
2012-03-22,0.95,1 Peralejos
2012-03-23,0.95,1 Peralejos
2012-03-24,0.95,1 Peralejos
2012-03-25,0.95,1 Peralejos
2012-03-26,0.95,1 Peralejos
2012-03-27,0.95,1 Peralejos
2012-03-28,0.95,1 Peralejos
2012-03-29,0.95,1 Peralejos
2012-03-30,0.95,1 Peralejos
2012-03-31,0.95,1 Peralejos
2012-04-01,0.95,1 Peralejos
2012-04-02,0.95,1 Peralejos
2012-04-03,1.035,1 Peralejos
2012-04-04,1.12,1 Peralejos
2012-04-05,1.205,1 Peralejos
2012-04-06,1.291,1 Peralejos
2012-04-07,1.376,1 Peralejos
2012-04-08,1.376,1 Peralejos
2012-04-09,1.376,1 Peralejos
2012-04-10,1.376,1 Peralejos
2012-04-11,1.376,1 Peralejos
2012-04-12,1.376,1 Peralejos
2012-04-13,1.376,1 Peralejos
2012-04-14,1.546,1 Peralejos
2012-04-15,2.578,1 Peralejos
2012-04-16,2.702,1 Peralejos
2012-04-17,2.455,1 Peralejos
2012-04-18,2.209,1 Peralejos
2012-04-19,4.24,1 Peralejos
2012-04-20,9.488,1 Peralejos
2012-04-21,6.159,1 Peralejos
2012-04-22,4.563,1 Peralejos
2012-04-23,3.756,1 Peralejos
2012-04-24,3.271,1 Peralejos
2012-04-25,2.702,1 Peralejos
2012-04-26,2.578,1 Peralejos
2012-04-27,2.455,1 Peralejos
2012-04-28,2.578,1 Peralejos
2012-04-29,3.756,1 Peralejos
2012-04-30,4.962,1 Peralejos
2012-05-01,7.509,1 Peralejos
2012-05-02,6.159,1 Peralejos
2012-05-03,5.162,1 Peralejos
2012-05-04,4.402,1 Peralejos
2012-05-05,4.24,1 Peralejos
2012-05-06,4.079,1 Peralejos
2012-05-07,3.756,1 Peralejos
2012-05-08,3.433,1 Peralejos
2012-05-09,3.271,1 Peralejos
2012-05-10,2.948,1 Peralejos
2012-05-11,2.702,1 Peralejos
2012-05-12,2.825,1 Peralejos
2012-05-13,2.825,1 Peralejos
2012-05-14,2.578,1 Peralejos
2012-05-15,2.578,1 Peralejos
2012-05-16,2.455,1 Peralejos
2012-05-17,2.332,1 Peralejos
2012-05-18,2.332,1 Peralejos
2012-05-19,2.455,1 Peralejos
2012-05-20,2.578,1 Peralejos
2012-05-21,2.332,1 Peralejos
2012-05-22,2.332,1 Peralejos
2012-05-23,2.209,1 Peralejos
2012-05-24,2.086,1 Peralejos
2012-05-25,2.086,1 Peralejos
2012-05-26,2.086,1 Peralejos
2012-05-27,1.962,1 Peralejos
2012-05-28,1.962,1 Peralejos
2012-05-29,1.962,1 Peralejos
2012-05-30,1.839,1 Peralejos
2012-05-31,1.839,1 Peralejos
2012-06-01,1.839,1 Peralejos
2012-06-02,1.839,1 Peralejos
2012-06-03,1.962,1 Peralejos
2012-06-04,1.716,1 Peralejos
2012-06-05,1.716,1 Peralejos
2012-06-06,1.716,1 Peralejos
2012-06-07,1.631,1 Peralejos
2012-06-08,1.631,1 Peralejos
2012-06-09,1.631,1 Peralejos
2012-06-10,1.631,1 Peralejos
2012-06-11,1.631,1 Peralejos
2012-06-12,1.631,1 Peralejos
2012-06-13,1.546,1 Peralejos
2012-06-14,1.546,1 Peralejos
2012-06-15,1.546,1 Peralejos
2012-06-16,1.546,1 Peralejos
2012-06-17,1.546,1 Peralejos
2012-06-18,1.546,1 Peralejos
2012-06-19,1.716,1 Peralejos
2012-06-20,1.631,1 Peralejos
2012-06-21,1.546,1 Peralejos
2012-06-22,1.461,1 Peralejos
2012-06-23,1.461,1 Peralejos
2012-06-24,1.461,1 Peralejos
2012-06-25,1.376,1 Peralejos
2012-06-26,1.376,1 Peralejos
2012-06-27,1.376,1 Peralejos
2012-06-28,1.376,1 Peralejos
2012-06-29,1.376,1 Peralejos
2012-06-30,1.376,1 Peralejos
2012-07-01,1.376,1 Peralejos
2012-07-02,1.376,1 Peralejos
2012-07-03,1.291,1 Peralejos
2012-07-04,1.291,1 Peralejos
2012-07-05,1.291,1 Peralejos
2012-07-06,1.291,1 Peralejos
2012-07-07,1.291,1 Peralejos
2012-07-08,1.291,1 Peralejos
2012-07-09,1.205,1 Peralejos
2012-07-10,1.205,1 Peralejos
2012-07-11,1.205,1 Peralejos
2012-07-12,1.205,1 Peralejos
2012-07-13,1.205,1 Peralejos
2012-07-14,1.12,1 Peralejos
