name,value,group,weight
qh1839,7.092,streamflowa,1.87704
qh1840,6.767,streamflowa,1.87704
qh1841,6.117,streamflowa,1.87704
qh1842,5.467,streamflowa,1.87704
qh1843,5.175,streamflowa,1.87704
qh1844,4.882,streamflowa,1.87704
qh1845,4.59,streamflowa,1.87704
qh1846,4.297,streamflowa,1.87704
qh1847,4.005,streamflowa,1.87704
qh1848,3.745,streamflowa,1.87704
qh1849,3.484,streamflowa,1.87704
qh1850,3.224,streamflowa,1.87704
qh1851,3.224,streamflowa,1.87704
qh1852,2.963,streamflowb,4.37019
qh1853,2.963,streamflowb,4.37019
qh1854,2.963,streamflowb,4.37019
qh1855,2.963,streamflowb,4.37019
qh1856,2.963,streamflowb,4.37019
qh1857,2.963,streamflowb,4.37019
qh1858,2.963,streamflowb,4.37019
qh1859,2.963,streamflowb,4.37019
qh1860,2.703,streamflowb,4.37019
qh1861,2.703,streamflowb,4.37019
qh1862,2.703,streamflowb,4.37019
qh1863,2.703,streamflowb,4.37019
qh1864,2.703,streamflowb,4.37019
qh1865,2.703,streamflowb,4.37019
qh1866,2.703,streamflowb,4.37019
qh1867,2.703,streamflowb,4.37019
qh1868,2.703,streamflowb,4.37019
qh1869,2.703,streamflowb,4.37019
qh1870,2.703,streamflowb,4.37019
qh1871,2.703,streamflowb,4.37019
qh1872,2.963,streamflowb,4.37019
qh1873,6.767,streamflowa,1.87704
qh1874,7.092,streamflowa,1.87704
qh1875,7.449,streamflowa,1.87704
qh1876,7.092,streamflowa,1.87704
qh1877,14.294,streamflowa,1.87704
qh1878,14.748,streamflowa,1.87704
qh1879,12.51,streamflowa,1.87704
qh1880,11.246,streamflowa,1.87704
qh1881,9.656,streamflowa,1.87704
qh1882,8.163,streamflowa,1.87704
qh1883,7.449,streamflowa,1.87704
qh1884,6.767,streamflowa,1.87704
qh1885,6.117,streamflowa,1.87704
qh1886,5.467,streamflowa,1.87704
qh1887,4.882,streamflowa,1.87704
qh1888,4.297,streamflowa,1.87704
qh1889,4.005,streamflowa,1.87704
qh1890,4.005,streamflowa,1.87704
qh1891,3.745,streamflowa,1.87704
qh1892,3.745,streamflowa,1.87704
qh1893,3.484,streamflowa,1.87704
qh1894,3.484,streamflowa,1.87704
qh1895,3.484,streamflowa,1.87704
qh1896,3.484,streamflowa,1.87704
qh1897,3.484,streamflowa,1.87704
qh1898,3.484,streamflowa,1.87704
qh1899,3.484,streamflowa,1.87704
qh1900,3.745,streamflowa,1.87704
qh1901,6.117,streamflowa,1.87704
qh1902,9.266,streamflowa,1.87704
qh1903,13.84,streamflowa,1.87704
qh1904,9.656,streamflowa,1.87704
qh1905,7.806,streamflowa,1.87704
qh1906,6.767,streamflowa,1.87704
qh1907,6.117,streamflowa,1.87704
qh1908,5.467,streamflowa,1.87704
qh1909,5.175,streamflowa,1.87704
qh1910,4.882,streamflowa,1.87704
qh1911,4.59,streamflowa,1.87704
qh1912,4.59,streamflowa,1.87704
qh1913,4.59,streamflowa,1.87704
qh1914,4.59,streamflowa,1.87704
qh1915,4.59,streamflowa,1.87704
qh1916,4.297,streamflowa,1.87704
qh1917,4.297,streamflowa,1.87704
qh1918,4.297,streamflowa,1.87704
qh1919,4.297,streamflowa,1.87704
qh1920,4.005,streamflowa,1.87704
qh1921,4.005,streamflowa,1.87704
qh1922,4.005,streamflowa,1.87704
qh1923,3.745,streamflowa,1.87704
qh1924,3.745,streamflowa,1.87704
qh1925,3.745,streamflowa,1.87704
qh1926,3.745,streamflowa,1.87704
qh1927,3.484,streamflowa,1.87704
qh1928,3.484,streamflowa,1.87704
qh1929,3.484,streamflowa,1.87704
qh1930,2.963,streamflowb,4.37019
qh1931,2.703,streamflowb,4.37019
qh1932,2.703,streamflowb,4.37019
qh1933,2.703,streamflowb,4.37019
qh1934,2.703,streamflowb,4.37019
qh1935,2.703,streamflowb,4.37019
qh1936,2.703,streamflowb,4.37019
qh1937,2.703,streamflowb,4.37019
qh1938,2.963,streamflowb,4.37019
qh1939,2.963,streamflowb,4.37019
qh1940,2.963,streamflowb,4.37019
qh1941,2.963,streamflowb,4.37019
qh1942,2.963,streamflowb,4.37019
qh1943,2.963,streamflowb,4.37019
qh1944,2.963,streamflowb,4.37019
qh1945,2.703,streamflowb,4.37019
qh1946,2.963,streamflowb,4.37019
qh1947,2.963,streamflowb,4.37019
qh1948,2.963,streamflowb,4.37019
qh1949,2.963,streamflowb,4.37019
qh1950,2.963,streamflowb,4.37019
qh1951,2.963,streamflowb,4.37019
qh1952,3.224,streamflowa,1.87704
qh1953,3.224,streamflowa,1.87704
qh1954,5.792,streamflowa,1.87704
qh1955,4.005,streamflowa,1.87704
qh1956,3.745,streamflowa,1.87704
qh1957,3.484,streamflowa,1.87704
qh1958,3.224,streamflowa,1.87704
qh1959,3.224,streamflowa,1.87704
qh1960,3.224,streamflowa,1.87704
qh1961,3.224,streamflowa,1.87704
qh1962,3.224,streamflowa,1.87704
qh1963,3.224,streamflowa,1.87704
qh1964,2.963,streamflowb,4.37019
qh1965,2.963,streamflowb,4.37019
qh1966,2.963,streamflowb,4.37019
qh1967,2.703,streamflowb,4.37019
qh1968,2.475,streamflowb,4.37019
qh1969,2.475,streamflowb,4.37019
qh1970,2.475,streamflowb,4.37019
qh1971,2.475,streamflowb,4.37019
qh1972,2.475,streamflowb,4.37019
qh1973,2.475,streamflowb,4.37019
qh1974,2.475,streamflowb,4.37019
qh1975,2.703,streamflowb,4.37019
qh1976,2.963,streamflowb,4.37019
qh1977,3.224,streamflowa,1.87704
qh1978,2.963,streamflowb,4.37019
qh1979,2.963,streamflowb,4.37019
qh1980,2.963,streamflowb,4.37019
qh1981,2.963,streamflowb,4.37019
qh1982,2.963,streamflowb,4.37019
qh1983,2.703,streamflowb,4.37019
qh1984,2.963,streamflowb,4.37019
qh1985,3.745,streamflowa,1.87704
qh1986,3.745,streamflowa,1.87704
qh1987,3.224,streamflowa,1.87704
qh1988,2.963,streamflowb,4.37019
qh1989,2.963,streamflowb,4.37019
qh1990,2.703,streamflowb,4.37019
qh1991,2.475,streamflowb,4.37019
qh1992,2.475,streamflowb,4.37019
qh1993,2.247,streamflowb,4.37019
qh1994,2.247,streamflowb,4.37019
qh1995,2.02,streamflowb,4.37019
qh1996,2.02,streamflowb,4.37019
qh1997,2.02,streamflowb,4.37019
qh1998,2.02,streamflowb,4.37019
qh1999,2.02,streamflowb,4.37019
qh2000,2.02,streamflowb,4.37019
qh2001,2.02,streamflowb,4.37019
qh2002,2.02,streamflowb,4.37019
qh2003,2.02,streamflowb,4.37019
qh2004,2.02,streamflowb,4.37019
qh2005,2.02,streamflowb,4.37019
qh2006,2.02,streamflowb,4.37019
qh2007,2.02,streamflowb,4.37019
qh2008,2.02,streamflowb,4.37019
qh2009,2.02,streamflowb,4.37019
qh2010,2.02,streamflowb,4.37019
