name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa2272,1.035,0,1.035,1.035,1.035,1.035,0.389567,0.0770072,0.203,0.6319,0.31256,0.466574,0.4031
qa2273,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.431487,0.0751011,0.2595,0.6744,0.356386,0.506588,0.2756
qa2274,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.4378,0.0729915,0.2778,0.6533,0.364808,0.510792,0.2967
qa2275,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.440945,0.0744404,0.2893,0.6483,0.366505,0.515385,0.3017
qa2276,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.438867,0.0749379,0.2803,0.6448,0.363929,0.513805,0.3052
qa2277,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.4342,0.0726461,0.278,0.6444,0.361554,0.506846,0.3056
qa2278,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.427562,0.0738546,0.2611,0.6482,0.353707,0.501417,0.3018
qa2279,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.420251,0.0737255,0.2498,0.6449,0.346525,0.493977,0.3051
qa2280,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.411852,0.0715006,0.2549,0.6223,0.340351,0.483353,0.3277
qa2281,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.403729,0.0709315,0.2453,0.6226,0.332797,0.474661,0.3274
qa2282,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.395326,0.0710638,0.2408,0.6158,0.324262,0.46639,0.3342
qa2283,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.386878,0.0704303,0.2395,0.613,0.316448,0.457308,0.337
qa2284,0.95,3.34745e-16,0.95,0.95,0.95,0.95,0.382693,0.069892,0.2303,0.6153,0.312801,0.452585,0.3347
qa2285,1.035,0,1.035,1.035,1.035,1.035,0.425368,0.0751503,0.2646,0.6235,0.350218,0.500518,0.4115
qa2286,1.12,6.6949e-16,1.12,1.12,1.12,1.12,0.577891,0.127306,0.3338,1.03,0.450585,0.705197,0.09
qa2302,9.488,0,9.488,9.488,9.488,9.488,3.37881,1.3709,1.126,7.63,2.00791,4.74971,1.858
qa2313,7.509,2.67796e-15,7.509,7.509,7.509,7.509,3.57255,1.08772,1.605,6.669,2.48483,4.66027,0.84
qa2330,2.332,4.46326e-16,2.332,2.332,2.332,2.332,1.47197,0.295469,0.745,2.211,1.1765,1.76744,0.121
qa2331,2.455,1.33898e-15,2.455,2.455,2.455,2.455,1.44329,0.280533,0.8396,2.173,1.16276,1.72382,0.282
qa2332,2.578,1.33898e-15,2.578,2.578,2.578,2.578,1.40744,0.272753,0.8258,2.112,1.13468,1.68019,0.466
qa2333,2.332,4.46326e-16,2.332,2.332,2.332,2.332,1.34716,0.261866,0.7847,2.029,1.0853,1.60903,0.303
qa2334,2.332,4.46326e-16,2.332,2.332,2.332,2.332,1.28823,0.250993,0.7334,1.968,1.03723,1.53922,0.364
qa2335,2.209,1.33898e-15,2.209,2.209,2.209,2.209,1.23501,0.240547,0.7078,1.892,0.994461,1.47555,0.317
qa2336,2.086,8.92653e-16,2.086,2.086,2.086,2.086,1.1784,0.234661,0.6286,1.811,0.943743,1.41306,0.275
qa2337,2.086,8.92653e-16,2.086,2.086,2.086,2.086,1.12707,0.226473,0.6182,1.767,0.900594,1.35354,0.319
