iteration,total_runs,obs_realization,par_realization,streamflowa,streamflowb,streamflowc,streamflowd,streamflowe,gwhead
2,460,67,67,64391,11949.9,14679.7,11339.4,15111.7,17402.7
2,460,68,68,53642.3,14793,14483.8,9047.26,9174.78,14786.3
2,460,69,69,64612.8,20512.7,22426.3,12628.3,7017.92,15679
2,460,70,70,60925.9,23342.9,27012.6,17525.9,17238.3,4620.13
2,460,71,71,71951.4,21367.6,25314.5,15214.4,15987.2,8549.9
2,460,72,72,62451.2,28652.7,37092.8,22418.1,35081.9,27713.9
2,460,73,73,60234.4,20744.7,19195.7,8285.03,7207.6,5714.66
2,460,74,74,67604.8,19118,20207.1,13213.3,10212.2,9598.91
2,460,75,75,68907.6,17269.1,22193.5,18267.6,19393,10702.9
2,460,76,76,63355,14209,16633.3,9026.26,10691.7,33350.8
2,460,77,77,58843.7,17028.3,18062,11464.1,10227.1,10929.7
2,460,78,78,65064.2,20445.5,24649.1,13530.7,19192.3,16930.5
2,460,79,79,55871.6,31412.5,37785.5,22171,11313.6,9924.77
2,460,80,80,54563.7,65534.9,64554.5,47739.9,75922.1,13879.7
2,460,81,81,62741.7,12896.3,14704.1,10430.4,12537.7,13674.1
2,460,82,82,67079.3,10955,11536.9,8395.06,6276.77,18122.5
2,460,83,83,64312.9,18459.8,19824.8,12078.1,14770.5,12988
2,460,84,84,56566,48887.3,52339.2,18049.3,26734.8,7455.14
2,460,85,85,62701.9,14307.7,17097.4,9101.73,13170.8,20352.8
2,460,86,86,68188.6,22406.1,24318.2,16357.9,5630.89,11796.5
2,460,87,87,46812.3,40145.1,50780.2,18456.1,13018.3,20014.7
2,460,88,88,54442.2,19724.3,22428.4,12162.5,16705.3,22282.6
2,460,89,89,51744.7,24045.3,31846.3,40257.4,36543.1,10271.9
2,460,90,90,48322.1,26958.6,31293.3,23749.7,6542.7,12048.2
2,460,91,91,71465.8,13443.1,13693.4,10877.3,5813.78,5432.11
2,460,92,92,64297.4,16630.7,16816.9,8764.32,7242.36,4748.5
2,460,93,93,69214.1,14190.6,14889.3,9388.85,6741.07,8321.5
2,460,94,94,54945.8,30873.6,35674.6,17698.5,18775,8272.53
2,460,95,95,53248.4,38668.2,40417.2,21247.2,32036.3,13579.6
2,460,96,96,50085.4,27696.1,28294.9,16604.2,10218.1,6662.51
2,460,97,97,57760.6,24258.3,28608.3,14653.5,10174.4,10642.8
2,460,98,98,69461,11483.5,13572.6,6956.11,9552.74,18212.7
2,460,base,base,63555.6,13784.6,16250.2,9282.7,11216.1,14242.4
3,640,0,0,61266,15233.8,14705,9036.55,6424.31,6719.55
3,640,1,1,54001,16860.4,14618.4,10191.1,8522.43,7280.93
3,640,2,2,58705.8,16168.6,14631.8,10185.6,7430.32,6889.7
3,640,3,3,59154.7,13477.3,15109.6,7520.61,9301.38,16443
3,640,4,4,67154.7,11194.2,10690.7,6951.62,7879.85,12781.5
3,640,5,5,58411.2,20111,18159.5,10426.5,8907.46,6464.52
3,640,6,6,51294.7,29056.2,27745.1,15430.1,9081.58,5061.02
3,640,7,7,57750.6,20444.8,20859.8,9906.84,12970.5,10614.2
3,640,8,8,64077.2,11114,12549.3,6495.13,8527.29,15939.9
3,640,9,9,63409.1,13273.8,13091.3,9716.31,6656.05,10149.7
3,640,10,10,53634.8,52488.8,49764.4,27183,49438.8,6536.38
3,640,11,11,62060.6,15448.6,13963.7,8001.29,6710.47,6928.89
3,640,12,12,62593.9,20412.3,19772,11944.7,9531.46,7521.18
3,640,13,13,56550.2,18047.4,17971.8,9306.14,10999.1,11916.7
3,640,14,14,59151.2,16622,16404.9,9149.66,7289.26,7706.01
3,640,15,15,64315.7,11354.2,11636.3,6397.22,6079.83,11669.1
3,640,16,16,50258.5,20062.5,18817.9,10041.3,8895.93,11481.1
3,640,17,17,65750.4,13005,12165.8,7077.11,7519.18,9447.33
3,640,18,18,57177.6,17256.6,16926.6,11669.7,6310.47,6958.77
3,640,19,19,67636.9,16698.5,14900.4,9406.57,6211.57,5533.04
3,640,20,20,59561.4,16404.2,14912.7,8586.33,5340.62,9099.5
3,640,21,21,54493.3,15902.4,15731.5,13275.3,9275.59,10101.5
3,640,22,22,60349.3,32545.2,37407.7,27371,6763.98,7516.58
3,640,23,23,60070.6,17074.2,16545.8,8558.83,14271.1,10968.9
3,640,24,24,63722.8,12634.9,12980,8460.64,5518.27,7279.51
3,640,25,25,64165.1,17922.6,17260.1,10150.4,6595.17,4318.32
3,640,26,26,46046.6,38001.7,39168.9,22208.8,8472.39,6416.51
3,640,27,27,56187.6,15145.4,14813.3,8559.69,10370.2,16223.8
3,640,28,28,54115.1,31993,33608.4,19892,10993.5,9157.86
3,640,29,29,64784.8,15354.5,16035.4,10938.5,7632.57,6493.77
3,640,30,30,57062.9,17982.7,17185.5,11110.7,6651.84,5464.23
3,640,31,31,53367.1,16941.8,17250.7,8946.33,9472.03,11820.3
3,640,32,32,65934.9,13373.7,12553.9,8338.83,7522.65,6620.47
