name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
qa3156,1.911,6.6949e-16,1.911,1.911,1.911,1.911,0.526269,0.37469,0.0385,1.777,0.151579,0.900959,0.134
qa3157,1.911,6.6949e-16,1.911,1.911,1.911,1.911,0.521725,0.372118,0.0367,1.756,0.149607,0.893843,0.155
qa3158,1.814,0,1.814,1.814,1.814,1.814,0.517797,0.36934,0.0453,1.748,0.148457,0.887137,0.066
qa3159,1.814,0,1.814,1.814,1.814,1.814,0.513588,0.367423,0.0425,1.751,0.146165,0.881011,0.063
qa3160,1.814,0,1.814,1.814,1.814,1.814,0.509779,0.366179,0.0399,1.738,0.1436,0.875958,0.076
qa3161,1.814,0,1.814,1.814,1.814,1.814,0.50575,0.364049,0.038,1.735,0.141701,0.869799,0.079
qa3162,1.814,0,1.814,1.814,1.814,1.814,0.502193,0.363694,0.0338,1.743,0.138499,0.865887,0.071
qa3163,1.814,0,1.814,1.814,1.814,1.814,0.499255,0.359807,0.0314,1.735,0.139448,0.859062,0.079
qa3168,1.716,4.46326e-16,1.716,1.716,1.716,1.716,0.526853,0.369567,0.0262,1.715,0.157286,0.89642,0.001
qa3169,1.716,4.46326e-16,1.716,1.716,1.716,1.716,0.512455,0.355657,0.0269,1.693,0.156798,0.868112,0.023
qa3170,1.716,4.46326e-16,1.716,1.716,1.716,1.716,0.504142,0.348934,0.0269,1.69,0.155208,0.853076,0.026
qa3171,1.716,4.46326e-16,1.716,1.716,1.716,1.716,0.495468,0.345853,0.0267,1.668,0.149615,0.841321,0.048
qa3172,1.716,4.46326e-16,1.716,1.716,1.716,1.716,0.489981,0.343348,0.0295,1.678,0.146633,0.833329,0.038
qa3173,1.716,4.46326e-16,1.716,1.716,1.716,1.716,0.484659,0.341216,0.0335,1.661,0.143443,0.825875,0.055
qa3174,1.814,0,1.814,1.814,1.814,1.814,0.506501,0.345187,0.0248,1.647,0.161314,0.851688,0.167
qa3175,1.814,0,1.814,1.814,1.814,1.814,0.494008,0.339101,0.0244,1.651,0.154907,0.833109,0.163
qa3176,1.814,0,1.814,1.814,1.814,1.814,0.484975,0.336716,0.0254,1.655,0.148259,0.821691,0.159
qa3177,1.814,0,1.814,1.814,1.814,1.814,0.478634,0.334421,0.0255,1.633,0.144213,0.813055,0.181
qa3178,1.814,0,1.814,1.814,1.814,1.814,0.474517,0.334257,0.026,1.636,0.14026,0.808774,0.178
qa3179,1.814,0,1.814,1.814,1.814,1.814,0.470472,0.333064,0.026,1.629,0.137408,0.803536,0.185
qa3180,1.716,4.46326e-16,1.716,1.716,1.716,1.716,0.46648,0.330079,0.0253,1.636,0.136401,0.796559,0.08
qa3181,1.716,4.46326e-16,1.716,1.716,1.716,1.716,0.463036,0.326093,0.0246,1.606,0.136943,0.789129,0.11
qa3182,1.627,2.23163e-16,1.627,1.627,1.627,1.627,0.46124,0.32491,0.0253,1.612,0.13633,0.78615,0.015
qa3184,1.627,2.23163e-16,1.627,1.627,1.627,1.627,0.453626,0.321854,0.0258,1.592,0.131772,0.77548,0.035
qa3185,1.627,2.23163e-16,1.627,1.627,1.627,1.627,0.46414,0.319683,0.0238,1.581,0.144457,0.783823,0.046
qh2076,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.586044,0.371486,0.0084,1.78,0.214558,0.95753,0.012
qh2077,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.581373,0.369807,0.0084,1.784,0.211566,0.95118,0.008
qh2078,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.575456,0.366557,0.0083,1.778,0.208899,0.942013,0.014
qh2079,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.572102,0.365822,0.0082,1.762,0.20628,0.937924,0.03
qh2080,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.564196,0.367775,0.0081,1.764,0.196421,0.931971,0.028
qh2081,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.560327,0.366841,0.0081,1.772,0.193486,0.927168,0.02
qh2082,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.557732,0.364572,0.008,1.752,0.19316,0.922304,0.04
qh2083,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.553612,0.363907,0.0079,1.76,0.189705,0.917519,0.032
qh2084,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.552119,0.363116,0.0078,1.741,0.189003,0.915235,0.051
qh2085,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.548677,0.360975,0.0078,1.743,0.187702,0.909652,0.049
qh2086,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.546038,0.359169,0.0077,1.729,0.186869,0.905207,0.063
qh2087,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.544695,0.357705,0.0077,1.726,0.18699,0.9024,0.066
qh2088,1.792,8.92653e-16,1.792,1.792,1.792,1.792,0.540853,0.355011,0.0076,1.729,0.185842,0.895864,0.063
